scope,scene_id,cluster_id,profile,method,si_sdr_db,spectral_error_db,coherence,ild_error_db,ic_error
single_scene,plus-test-0011,speaker-pair-1,strict,adeps_tuned,14.184623648571382,13.338474898523685,0.23119193720102676,4.223389094528238,0.22607569607658784
single_scene,plus-test-0011,speaker-pair-1,strict,spatial_only,27.530467821958442,3.774107829868852,0.8486809938796283,0.4846584996573601,0.06417546661933485
single_scene,plus-test-0011,speaker-pair-1,strict,consistency_only,21.06769663972276,6.634528566347713,0.678295136410584,2.9875761407167047,0.0915670268054182
single_scene,plus-test-0011,speaker-pair-1,strict,plus,28.09711814491076,4.378130791256685,0.8267196597625566,0.5413489455233516,0.06460729327958631
single_scene,plus-test-0011,speaker-pair-1,strict,plus_no_denoiser,28.331196952050504,3.701128306033271,0.848400682719234,0.4300097536216466,0.058032877632451935
single_scene,plus-test-0012,speaker-pair-1,strict,linear_default,20.37955232072724,,,2.0611785417132786,0.047815134300687706
single_scene,plus-test-0012,speaker-pair-1,strict,linear_tuned,21.69374666303125,,,2.058323075872341,0.04782330364679883
single_scene,plus-test-0012,speaker-pair-1,strict,linear_noise,21.663988596073075,,,2.0659348846572296,0.047381641504547545
single_scene,plus-test-0012,speaker-pair-1,strict,adeps_current,7.027979351648799,17.60593711548471,0.1264579986217129,4.063745147862277,0.36525754607871547
single_scene,plus-test-0012,speaker-pair-1,strict,adeps_tuned,13.549508496372225,17.246036594731773,0.20289893655345745,3.4869964272940948,0.31143407670929624
single_scene,plus-test-0012,speaker-pair-1,strict,spatial_only,25.577807859330797,3.902265834006544,0.9020578017330638,0.288788689867608,0.020699066649266552
single_scene,plus-test-0012,speaker-pair-1,strict,consistency_only,23.540156356726236,6.381843805030013,0.7523498848250185,1.8834833249288927,0.06647928849522466
single_scene,plus-test-0012,speaker-pair-1,strict,plus,29.51056234547068,4.193427951628125,0.9021596375298346,0.269622433885342,0.019527698645310516
single_scene,plus-test-0012,speaker-pair-1,strict,plus_no_denoiser,29.592176265617937,3.7028291837031277,0.9062615290933442,0.2810455441624339,0.02070965241511398
single_scene,plus-test-0013,speaker-pair-1,strict,linear_default,5.619687452325431,,,2.619809160105206,0.09185680803054741
single_scene,plus-test-0013,speaker-pair-1,strict,linear_tuned,8.140423858743162,,,2.613060949511641,0.0908707016030463
single_scene,plus-test-0013,speaker-pair-1,strict,linear_noise,8.136412175942832,,,2.6118089494378074,0.09090771674554174
single_scene,plus-test-0013,speaker-pair-1,strict,adeps_current,1.245497595227418,10.177285695818156,0.17196872265948754,3.7269591865230423,0.23072905743277938
single_scene,plus-test-0013,speaker-pair-1,strict,adeps_tuned,7.096358469403465,9.012876732189154,0.26596694645269486,3.016563836938163,0.1916731976716579
single_scene,plus-test-0013,speaker-pair-1,strict,spatial_only,10.294966535882063,5.715022332202144,0.6917671266316564,0.5273583055015734,0.067161163654521
single_scene,plus-test-0013,speaker-pair-1,strict,consistency_only,12.914050530860923,7.6469465510955,0.6048119846482383,2.281368922535756,0.09830120016143858
